"","id","code","team_h","team_h_score","team_a","team_a_score","event","finished","minutes","provisional_start_time","kickoff_time","round","was_home","difficulty","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","team_id","opp_team_id","opp_team_name","opp_short_team_name","opp_strength","team_strength","home_team","away_team","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def"
"53","47",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Boubacar","Kamara","Kamara",2,3,"226944.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"54","48",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Ezri","Konsa Ngoyo","Konsa",2,2,"199798.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"55","49",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Emiliano","Martínez Romero","Martinez",2,1,"98980.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"56","50",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"John","McGinn","McGinn",2,3,"122806.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"57","51",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Tyrone","Mings","Mings",2,2,"149484.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"58","53",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Robin","Olsen","Olsen",2,1,"111782.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"59","54",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Jaden","Philogene-Bidace","Philogene",2,3,"481624.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"60","55",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Jacob","Ramsey","J.Ramsey",2,3,"232653.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"61","56",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Morgan","Sanson","Sanson",2,3,"122775.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"62","57",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Viljami","Sinisalo","Sinisalo",2,1,"248164.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"63","58",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Youri","Tielemans","Tielemans",2,3,"166989.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"64","59",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Bertrand","Traoré","Bertrand Traoré",2,3,"110504.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"65","60",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Ollie","Watkins","Watkins",2,4,"178301.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"66","61",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Wesley","Moraes Ferreira da Silva","Wesley",2,4,"213345.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"67","584",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Pau","Torres","Pau",2,2,"244954.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"68","599",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Moussa","Diaby","Diaby",2,3,"243557.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"69","618",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Omari","Kellyman","Kellyman",2,3,"549068.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"70","670",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Filip","Marschall","Marschall",2,1,"462381.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"71","672",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Nicolò","Zaniolo","Zaniolo",2,3,"245414.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"72","686",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Oliwier","Zych","Zych",2,1,"516159.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"73","699",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Clément","Lenglet","Lenglet",2,2,"171101.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"74","765",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Sam","Proctor","Proctor",2,1,"564505.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"75","767",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Tommi","O'Reilly","O'Reilly",2,3,"515599.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
