"","id","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away"
"122",849,"Michael","Dacosta Gonzalez","Dacosta Gonzalez",3,3,"596572.jpg","Bournemouth","BOU",3,1100,1100,1055,1130,1145,1075
"123",855,"Callan","McKenna","McKenna",3,1,"568791.jpg","Bournemouth","BOU",3,1100,1100,1055,1130,1145,1075
"124",90,"Kristoffer","Ajer","Ajer",4,2,"191866.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"125",91,"Ellery","Balcombe","Balcombe",4,1,"235448.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"126",92,"Shandon","Baptiste","Baptiste",4,3,"432160.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"127",93,"Mads","Bech Sørensen","Bech",4,2,"228044.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"128",94,"Mads","Bidstrup","Bidstrup",4,3,"481405.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"129",95,"Sergi","Canós Tenés","Canós",4,3,"174932.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"130",96,"Nathan","Collins","Collins",4,2,"432830.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"131",97,"Matthew","Cox","Cox",4,1,"503300.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"132",98,"Mikkel","Damsgaard","Damsgaard",4,3,"440089.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"133",99,"Josh","Dasilva","Dasilva",4,3,"183656.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"134",100,"Halil","Dervişoğlu","Dervişoğlu",4,4,"434662.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"135",101,"Mark","Flekken","Flekken",4,1,"118342.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"136",102,"Charlie","Goode","Goode",4,2,"213687.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"137",103,"Rico","Henry","Henry",4,2,"194010.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"138",104,"Aaron","Hickey","Hickey",4,2,"472713.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"139",105,"Vitaly","Janelt","Janelt",4,3,"204580.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"140",106,"Mathias","Jensen","Jensen",4,3,"207283.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"141",107,"Keane","Lewis-Potter","Lewis-Potter",4,3,"249231.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"142",108,"Bryan","Mbeumo","Mbeumo",4,3,"446008.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"143",109,"Ben","Mee","Mee",4,2,"51927.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"144",110,"Christian","Nørgaard","Nørgaard",4,3,"128295.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"145",111,"Frank","Onyeka","Onyeka",4,3,"428580.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"146",112,"Ethan","Pinnock","Pinnock",4,2,"231065.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"147",114,"Mads","Roerslev Rasmussen","Roerslev",4,2,"226956.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"148",115,"Kevin","Schade","Schade",4,3,"513418.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"149",116,"Thomas","Strakosha","Strakosha",4,1,"140200.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"150",117,"Ivan","Toney","Toney",4,4,"144485.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"151",118,"Ryan","Trevitt","Trevitt",4,3,"591357.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"152",119,"Yoane","Wissa","Wissa",4,4,"216646.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"153",120,"Yegor","Yarmoliuk","Yarmoliuk",4,3,"508395.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"154",121,"Mathias","Jorgensen","Zanka",4,2,"48760.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"155",258,"Neal","Maupay","Maupay",4,4,"115382.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"156",508,"Sergio","Reguilón","Reguilón",4,2,"199249.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"157",620,"Michael","Olakigbe","Olakigbe",4,3,"501284.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"158",684,"Ethan","Brierley","Brierley",4,3,"494041.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"159",701,"Saman","Ghoddos","Ghoddos",4,3,"205836.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"160",725,"Ji-Soo","Kim","Kim Ji-Soo",4,2,"570241.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"161",733,"Valintino","Adedokun","Adedokun",4,2,"516432.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"162",744,"Myles","Peart-Harris","Peart-Harris",4,3,"450539.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"163",752,"Vincent","Angelini","Angelini",4,1,"563883.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"164",789,"Hákon","Valdimarsson","Valdimarsson",4,1,"507433.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"165",797,"Benjamin","Fredrick","Fredrick",4,2,"612534.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"166",834,"Benjamin","Arthur","Arthur",4,2,"622536.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"167",864,"Yunus","Konak","Konak",4,3,"628204.jpg","Brentford","BRE",3,1100,1100,1110,1055,1090,1150
"168",122,"Simon","Adingra","Adingra",5,3,"535818.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"169",123,"Steven","Alzate","Alzate",5,3,"235382.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"170",124,"Yasin","Ayari","Ayari",5,3,"509416.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"171",125,"Facundo","Buonanotte","Buonanotte",5,3,"536916.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"172",127,"Aaron","Connolly","Connolly",5,4,"233425.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"173",128,"Mahmoud","Dahoud","Dahoud",5,3,"168090.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"174",129,"Lewis","Dunk","Dunk",5,2,"83299.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"175",130,"Julio","Enciso","Enciso",5,3,"474120.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"176",131,"Pervis","Estupiñán","Estupiñan",5,2,"204214.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"177",132,"Evan","Ferguson","Ferguson",5,4,"487117.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"178",133,"Billy","Gilmour","Gilmour",5,3,"243568.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"179",134,"Pascal","Groß","Gross",5,3,"60307.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"180",135,"João Pedro","Junqueira de Jesus","João Pedro",5,4,"475168.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"181",136,"Michał","Karbownik","Karbownik",5,2,"442229.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"182",137,"Kacper","Kozłowski","Kozłowski",5,3,"484658.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"183",138,"Adam","Lallana","Lallana",5,3,"39155.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"184",139,"Tariq","Lamptey","Lamptey",5,2,"232792.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"185",140,"Solly","March","March",5,3,"109345.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"186",141,"Tom","McGill","McGill",5,1,"209288.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"187",142,"James","Milner","Milner",5,3,"15157.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"188",143,"Kaoru","Mitoma","Mitoma",5,3,"451340.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"189",144,"Jakub","Moder","Moder",5,3,"243505.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"190",146,"Jeremy","Sarmiento Morante","Sarmiento",5,3,"441192.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"191",147,"Kjell","Scherpen","Scherpen",5,1,"240514.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"192",148,"Jason","Steele","Steele",5,1,"49262.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"193",149,"Deniz","Undav","Undav",5,4,"450434.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"194",150,"Jan Paul","van Hecke","Van Hecke",5,2,"469142.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"195",151,"Joël","Veltman","Veltman",5,2,"111478.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"196",152,"Bart","Verbruggen","Verbruggen",5,1,"489639.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"197",153,"Adam","Webster","Webster",5,2,"110735.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"198",154,"Danny","Welbeck","Welbeck",5,4,"50175.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"199",155,"Andi","Zeqiri","Zeqiri",5,4,"204676.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"200",606,"Igor Julio","dos Santos de Paulo","Igor",5,2,"223434.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"201",621,"Jack","Hinshelwood","Hinshelwood",5,3,"532529.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"202",690,"Carlos","Baleba","Baleba",5,3,"535301.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"203",700,"Anssumane","Fati Vieira","Ansu Fati",5,3,"465607.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"204",741,"Mark","O’Mahony","O’Mahony",5,4,"574402.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"205",742,"Benicio","Baker-Boaitey","Baker-Boaitey",5,3,"475480.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"206",746,"Ben","Jackson","Jackson",5,2,"514154.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"207",747,"Joshua","Duffus","Duffus",5,3,"532528.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"208",753,"Leigh","Kavanagh","Kavanagh",5,2,"513836.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"209",755,"Luca","Barrington","Barrington",5,3,"500052.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
"210",786,"Cameron","Peupion","Peupion",5,3,"491598.jpg","Brighton","BHA",3,1100,1210,1070,1180,1135,1240
